,10964,Fisher,Materials Innovation Factory,,,20/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Cupboard 6,Cupboard 6,,Silica gel self indicating,,,,Thomas Fellowes (thomas.fellows),,,,S/0761/53,,,500g,500,g,500g,500,500,g,,,Solid,,,,,,,0,,60.08
,10965,Fisher,Materials Innovation Factory,,,20/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Cupboard 6,Cupboard 6,,Silica gel self indicating,,,,Thomas Fellowes (thomas.fellows),,,,S/0761/53,,,500g,500,g,500g,500,500,g,,,Solid,,,,,,,0,,60.08
,11003,Acros Organics,Materials Innovation Factory,,,20/10/2021,,Cooper Group,"Specific target organ toxicity - single exposure (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3)",,H225;H301;H311;H315;H319;H331;H370,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC07 Solvents,FC07 Solvents,,"Hydrogen chloride, ca 0.5M solution in methanol",,,,Thomas Fellowes (thomas.fellows),II,,P210;P234;P280;P301 + P310;P302 + P352;P304 + P340,428931000,,,100ml,100,ml,100ml,100,100,ml,Danger,,Liquid,,,,3,,,3286,,36.46099854
,11004,Acros Organics,Materials Innovation Factory,,,20/10/2021,,Cooper Group,"Specific target organ toxicity - single exposure (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3)",,H225;H301;H311;H315;H319;H331;H370,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC07 Solvents,FC07 Solvents,,"Hydrogen chloride, ca 0.5M solution in methanol",,,,Thomas Fellowes (thomas.fellows),II,,P210;P234;P280;P301 + P310;P302 + P352;P304 + P340,428931000,,,100ml,100,ml,100ml,100,100,ml,Danger,,Liquid,,,,3,,,3286,,36.46099854
,11005,Acros Organics,Materials Innovation Factory,,,20/10/2021,,Cooper Group,"Specific target organ toxicity - single exposure (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3)",,H225;H301;H311;H315;H319;H331;H370,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC07 Solvents,FC07 Solvents,,"Hydrogen chloride, ca 0.5M solution in methanol",,,,Thomas Fellowes (thomas.fellows),II,,P210;P234;P280;P301 + P310;P302 + P352;P304 + P340,428931000,,,100ml,100,ml,100ml,100,100,ml,Danger,,Liquid,,,,3,,,3286,,36.46099854
,11006,Acros Organics,Materials Innovation Factory,,,20/10/2021,,Cooper Group,"Specific target organ toxicity - single exposure (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3)",,H225;H301;H311;H315;H319;H331;H370,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC07 Solvents,FC07 Solvents,,"Hydrogen chloride, ca 0.5M solution in methanol",,,,Thomas Fellowes (thomas.fellows),II,,P210;P234;P280;P301 + P310;P302 + P352;P304 + P340,428931000,,,100ml,100,ml,100ml,100,100,ml,Danger,,Liquid,,,,3,,,3286,,36.46099854
,10403,Sigma-Aldrich,Materials Innovation Factory,5328-37-0,,19/10/2021,,Cooper Group,Not hazardous,,,,Synthetic Laboratory,Box 2,Cupboard 2 > Box 2,,L-(+)-Arabinose,,,,Thomas Fellowes (thomas.fellows),,,,A91906-25g-a,,,25g,25,g,25g,25,25,g,,,Solid,,,,,,,0,,150.13
,10448,TCI America,Materials Innovation Factory,65-49-6,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 2,Cupboard 2 > Box 2,,4-Aminosalicylic Acid,,,,Thomas Fellowes (thomas.fellows),,,,A0420,,,25g,25,g,25g,25,25,g,,,Solid,,,,,,,,,153.14
,10449,Combi-Blocks,Materials Innovation Factory,123088-59-5,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 2,Cupboard 2 > Box 2,,4-Aminocarbonylphenylboronic acid,,,,Thomas Fellowes (thomas.fellows),,,,Bb-2224,,,25g,25,g,25g,25,25,g,,,Solid,ROOM,,,,,,,,164.9570007
,11206,Sigma-Aldrich,Materials Innovation Factory,107-21-1,,20/10/2021,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Oral (Category 4)",,H302;H373,GHS_07;GHS_08,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,,Ethylene glycol,,,,Thomas Fellowes (thomas.fellows),III,,P260;P264;P270;P314;P330;P501,293237,,,1000 ml,1000,ml,,1000,,ml,Warning,,Liquid,,,,9,,,3082,,62.07
,11210,Alfa Aesar,Materials Innovation Factory,111-46-6,,20/10/2021,,Cooper Group,"Acute toxicity, Oral (Category 4)",,H302,GHS_07,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,,"Diethylene glycol, 99%",,,,Thomas Fellowes (thomas.fellows),,,P264;P270;P301 + P312;P330;P501,A14728,,99%,500g,500,g,500g,500,500,g,Warning,,Liquid,,,,,,,,,106.1210022
,11222,Sigma-Aldrich,Materials Innovation Factory,95-47-6,,20/10/2021,,Cooper Group,"Flammable liquids (Category 3);Aspiration hazard (Category 1);Acute toxicity, Dermal (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2A);Acute toxicity, Inhalation (Category 4);Specific target organ toxicity - single exposure (Category 3, H335);Hazardous to the aquatic environment, short-term (acute), (Category 3);Hazardous to the aquatic environment, long-term (chronic), (Category 3)",,H226;H304;H312;H315;H319;H332;H335;H412,GHS_02;GHS_07;GHS_08,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,BCBQ5542V,O-Xylene,Flammability: 0; Health: 2; Instability/reactivity: 0,,,Thomas Fellowes (thomas.fellows),,,P210;P233;P240;P241;P242;P243;P261;P264;P271;P273;P280;P301 + P310;P303 + P361 + P353;P304 + P340 + P312;P305 + P351 + P338;P331;P332 + P313;P337 + P313;P362;P370 + P378;P403 + P233;P403 + P235;P405;P501,95662,,,1000 ml,1000,ml,,1000,,ml,Danger,,Liquid,,,,,,,,,106.1679993
,11218,Sigma-Aldrich,Materials Innovation Factory,109-99-9,,20/10/2021,20/10/2022,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 2)",EUH019,H225;H302;H319;H335;H351,GHS_02;GHS_07;GHS_08,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,STBJ5506,Tetrahydrofuran,Flammability: 3; Health: 2; Instability/reactivity: 1,,,Thomas Fellowes (thomas.fellows),II,,,401757,,99.9%,2000 ml,2000,ml,,2000,,ml,Danger,,,ROOM,,,3,,,2056,,72.10700226
,11207,Sigma-Aldrich,Materials Innovation Factory,112-27-6,,20/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,U13149,Triethylene glycol,,,,Thomas Fellowes (thomas.fellows),,,,T59455,,,1000 ml,1000,ml,1l,1000,1000,ml,,,Liquid,,,,,,,0,,150.173996
,11211,Sigma-Aldrich,Materials Innovation Factory,109-86-4,,20/10/2021,,Cooper Group,"Specific target organ toxicity - single exposure (Category 1);Specific target organ toxicity - repeated exposure (Category 2);Flammable liquids (Category 3);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 4);Acute toxicity, Inhalation (Category 4)",,H226;H302;H312;H332;H360;H370;H373,GHS_02;GHS_07;GHS_08,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,SHBJ2164,2-Methoxyethanol,Flammability: 2; Health: 1; Instability/reactivity: 1,,,Thomas Fellowes (thomas.fellows),II,,,284467-1l,,,1000 ml,1000,ml,1 l,1000,1000,ml,Danger,,,ROOM,,,3,,,1188,,76.09500122
,11215,Fisher Scientific,Materials Innovation Factory,100-51-6,,20/10/2021,,Cooper Group,"Acute toxicity, Oral (Category 4);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 4)",,H302;H319;H332,GHS_07,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,,"Benzyl alcohol, 98+%, extra pure, SLR, meets the specification of BP and Ph. Eur.",,,,Thomas Fellowes (thomas.fellows),,,P280;P304 + P340;P305 + P351 + P338,B/2550,,,500 ml,500,ml,,500,,ml,Warning,,Liquid,ROOM,,,,,,,,108.14
,11209,Sigma-Aldrich,Materials Innovation Factory,7772-98-7,,20/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,FC12 (White cupboard),FC12 (White cupboard),,Sodium thiosulfate,,,,Thomas Fellowes (thomas.fellows),,,,217263,,,250g,250,g,250g,250,250,g,,,Solid,ROOM,,,,,,0,,158.11
,11217,Sigma-Aldrich,Materials Innovation Factory,15243-33-1,,20/10/2021,,Cooper Group,"Acute toxicity, Inhalation (Category 4)",,H332,GHS_07,Synthetic Laboratory,FC12 (White cupboard),FC12 (White cupboard),,Triruthenium dodecacarbonyl,,,,Thomas Fellowes (thomas.fellows),,,,245011,,,1 g,1,g,,1,,g,Warning,,Solid,ROOM,,,,,,0,,639.33
,11221,Sigma-Aldrich,Materials Innovation Factory,546-68-9,,20/10/2021,,Cooper Group,"Flammable liquids (Category 3);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H336)",,H226;H319;H331;H336,GHS_02;GHS_06,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,SHBJ3124,Titanium(IV) isopropoxide,,,,Thomas Fellowes (thomas.fellows),III,,P210;P305 + P351 + P338;P311,377996,,,25 ml,25,ml,,25,,ml,Danger,,Liquid,,,,3,,,2413,,284.22
,11225,Alfa Aesar,Materials Innovation Factory,1313-82-2,,20/10/2021,,Cooper Group,"Hazardous to the aquatic environment, short-term (acute), (Category 1);Skin corrosion/irritation (Category 1);Skin corrosion/irritation (Category 1B);Corrosive to Metals (Category 1);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3)",EUH031;EUH071,H290;H301;H311;H314;H400,GHS_05;GHS_06;GHS_09,Synthetic Laboratory,FC12 (White cupboard),FC12 (White cupboard),,"Sodium sulfide, anhydrous",,,with less than 30% water of crystallization,Thomas Fellowes (thomas.fellows),II,,P280;P301 + P330 + P331;P303 + P361 + P353;P305 + P351 + P338;P310,65122,,,5 g,5,g,,5,,g,Danger,,Solid,FRIDGE,,,4.2,,,1385,,79.05500031
